_;wappen_URL;Club;League;League_URL;League1;Value_Nov_1_2010_URL;Value_Nov_1_2010;Current_value_URL;Current_value;_1
,9;https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023;Brighton & Hove Albion;Premier League;;;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2019;€207.25m;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2023;€455.65m;119.9 %
,10;https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2023;Brentford FC;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/fc-brentford/kader/verein/1148/saison_id/2019;€49.20m;https://www.transfermarkt.com/brentford-fc/kader/verein/1148/saison_id/2023;€393.80m;700.4 %
,11;https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023;Wolverhampton Wanderers;Premier League;;;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2019;€309.60m;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2023;€367.18m;18.6 %
,12;https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2023;Everton FC;Premier League;;;https://www.transfermarkt.com/fc-everton/kader/verein/29/saison_id/2019;€519.00m;https://www.transfermarkt.com/everton-fc/kader/verein/29/saison_id/2023;€365.15m;-29.6 %
,13;https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2023;West Ham United;Premier League;;;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2019;€344.25m;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2023;€362.90m;5.4 %
,14;https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2023;Nottingham Forest;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2019;€74.55m;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2023;€335.48m;350.0 %
,15;https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2023;Crystal Palace;Premier League;;;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2019;€231.40m;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2023;€299.45m;29.4 %
,16;https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2023;AFC Bournemouth;Premier League;;;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2019;€320.00m;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2023;€271.00m;-15.3 %
,17;https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023;Fulham FC;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/fc-fulham/kader/verein/931/saison_id/2019;€142.50m;https://www.transfermarkt.com/fulham-fc/kader/verein/931/saison_id/2023;€249.00m;74.7 %
,18;https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2023;Burnley FC;Premier League;;;https://www.transfermarkt.com/fc-burnley/kader/verein/1132/saison_id/2019;€200.75m;https://www.transfermarkt.com/burnley-fc/kader/verein/1132/saison_id/2023;€190.85m;-4.9 %
,19;https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2023;Sheffield United;Premier League;;;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2019;€69.40m;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2023;€104.50m;50.6 %
,20;https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2023;Luton Town;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2019;€16.90m;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2023;€50.50m;198.8 %
,1;https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2023;Arsenal FC;Premier League;;;https://www.transfermarkt.com/fc-arsenal/kader/verein/11/saison_id/2020;€599.35m;https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2023;€1.21bn;101.1 %
,2;https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2023;Manchester City;Premier League;;;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2020;€1.06bn;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2023;€1.18bn;11.6 %
,3;https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2023;Chelsea FC;Premier League;;;https://www.transfermarkt.com/fc-chelsea/kader/verein/631/saison_id/2020;€880.10m;https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2023;€879.50m;-0.1 %
,4;https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2023;Liverpool FC;Premier League;;;https://www.transfermarkt.com/fc-liverpool/kader/verein/31/saison_id/2020;€1.03bn;https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2023;€846.80m;-17.4 %
,5;https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2023;Manchester United;Premier League;;;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2020;€758.10m;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2023;€845.30m;11.5 %
,6;https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2023;Tottenham Hotspur;Premier League;;;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2020;€721.55m;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2023;€773.30m;7.2 %
,7;https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023;Newcastle United;Premier League;;;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2020;€228.45m;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2023;€615.10m;169.2 %
,8;https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2023;Aston Villa;Premier League;;;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2020;€232.70m;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2023;€591.50m;154.2 %
,9;https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023;Brighton & Hove Albion;Premier League;;;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2020;€209.05m;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2023;€455.65m;118.0 %
,10;https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2023;Brentford FC;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/fc-brentford/kader/verein/1148/saison_id/2020;€66.98m;https://www.transfermarkt.com/brentford-fc/kader/verein/1148/saison_id/2023;€393.80m;488.0 %
,11;https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023;Wolverhampton Wanderers;Premier League;;;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2020;€318.80m;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2023;€367.18m;15.2 %
,12;https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2023;Everton FC;Premier League;;;https://www.transfermarkt.com/fc-everton/kader/verein/29/saison_id/2020;€411.05m;https://www.transfermarkt.com/everton-fc/kader/verein/29/saison_id/2023;€365.15m;-11.2 %
,13;https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2023;West Ham United;Premier League;;;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2020;€295.15m;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2023;€362.90m;23.0 %
,14;https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2023;Nottingham Forest;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2020;€55.00m;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2023;€335.48m;510.0 %
,15;https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2023;Crystal Palace;Premier League;;;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2020;€188.50m;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2023;€299.45m;58.9 %
,16;https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2023;AFC Bournemouth;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2020;€179.70m;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2023;€271.00m;50.8 %
,17;https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023;Fulham FC;Premier League;;;https://www.transfermarkt.com/fc-fulham/kader/verein/931/saison_id/2020;€144.25m;https://www.transfermarkt.com/fulham-fc/kader/verein/931/saison_id/2023;€249.00m;72.6 %
,18;https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2023;Burnley FC;Premier League;;;https://www.transfermarkt.com/fc-burnley/kader/verein/1132/saison_id/2020;€154.78m;https://www.transfermarkt.com/burnley-fc/kader/verein/1132/saison_id/2023;€190.85m;23.3 %
,19;https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2023;Sheffield United;Premier League;;;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2020;€137.95m;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2023;€104.50m;-24.2 %
,20;https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2023;Luton Town;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2020;€10.58m;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2023;€50.50m;377.5 %
,1;https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2023;Southampton FC;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB3;League One;https://www.transfermarkt.com/fc-southampton/kader/verein/180/saison_id/2010;€15.83m;https://www.transfermarkt.com/southampton-fc/kader/verein/180/saison_id/2023;€380.70m;2305.7 %
,2;https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2023;Leicester City;Championship;;;https://www.transfermarkt.com/leicester-city/kader/verein/1003/saison_id/2010;€32.85m;https://www.transfermarkt.com/leicester-city/kader/verein/1003/saison_id/2023;€286.50m;772.1 %
,3;https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2023;Leeds United;Championship;;;https://www.transfermarkt.com/leeds-united/kader/verein/399/saison_id/2010;€27.58m;https://www.transfermarkt.com/leeds-united/kader/verein/399/saison_id/2023;€246.40m;793.6 %
,4;https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2023;Norwich City;Championship;;;https://www.transfermarkt.com/norwich-city/kader/verein/1123/saison_id/2010;€17.18m;https://www.transfermarkt.com/norwich-city/kader/verein/1123/saison_id/2023;€98.30m;472.3 %
,5;https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2023;Watford FC;Championship;;;https://www.transfermarkt.com/fc-watford/kader/verein/1010/saison_id/2010;€10.60m;https://www.transfermarkt.com/watford-fc/kader/verein/1010/saison_id/2023;€69.20m;552.8 %
,6;https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641/saison_id/2023;Middlesbrough FC;Championship;;;https://www.transfermarkt.com/fc-middlesbrough/kader/verein/641/saison_id/2010;€41.80m;https://www.transfermarkt.com/middlesbrough-fc/kader/verein/641/saison_id/2023;€59.15m;41.5 %
,7;https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2023;Hull City;Championship;;;https://www.transfermarkt.com/hull-city/kader/verein/3008/saison_id/2010;€33.75m;https://www.transfermarkt.com/hull-city/kader/verein/3008/saison_id/2023;€58.75m;74.1 %
,8;https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2023;Sunderland AFC;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/afc-sunderland/kader/verein/289/saison_id/2010;€105.25m;https://www.transfermarkt.com/sunderland-afc/kader/verein/289/saison_id/2023;€57.35m;-45.5 %
,9;https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2023;West Bromwich Albion;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/west-bromwich-albion/kader/verein/984/saison_id/2010;€71.25m;https://www.transfermarkt.com/west-bromwich-albion/kader/verein/984/saison_id/2023;€56.80m;-20.3 %
,10;https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2023;Blackburn Rovers;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/blackburn-rovers/kader/verein/164/saison_id/2010;€73.25m;https://www.transfermarkt.com/blackburn-rovers/kader/verein/164/saison_id/2023;€56.70m;-22.6 %
,11;https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2023;Swansea City;Championship;;;https://www.transfermarkt.com/swansea-city/kader/verein/2288/saison_id/2010;€21.80m;https://www.transfermarkt.com/swansea-city/kader/verein/2288/saison_id/2023;€55.50m;154.6 %
,12;https://www.transfermarkt.com/bristol-city/startseite/verein/698/saison_id/2023;Bristol City;Championship;;;https://www.transfermarkt.com/bristol-city/kader/verein/698/saison_id/2010;€21.50m;https://www.transfermarkt.com/bristol-city/kader/verein/698/saison_id/2023;€52.25m;143.0 %
,13;https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2023;Cardiff City;Championship;;;https://www.transfermarkt.com/cardiff-city/kader/verein/603/saison_id/2010;€34.10m;https://www.transfermarkt.com/cardiff-city/kader/verein/603/saison_id/2023;€48.10m;41.1 %
,14;https://www.transfermarkt.com/birmingham-city/startseite/verein/337/saison_id/2023;Birmingham City;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/birmingham-city/kader/verein/337/saison_id/2010;€75.55m;https://www.transfermarkt.com/birmingham-city/kader/verein/337/saison_id/2023;€42.00m;-44.4 %
,15;https://www.transfermarkt.com/preston-north-end/startseite/verein/466/saison_id/2023;Preston North End;Championship;;;https://www.transfermarkt.com/preston-north-end/kader/verein/466/saison_id/2010;€14.08m;https://www.transfermarkt.com/preston-north-end/kader/verein/466/saison_id/2023;€41.25m;193.1 %
,16;https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2023;Stoke City;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/stoke-city/kader/verein/512/saison_id/2010;€82.00m;https://www.transfermarkt.com/stoke-city/kader/verein/512/saison_id/2023;€40.80m;-50.2 %
,17;https://www.transfermarkt.com/fc-millwall/startseite/verein/1028/saison_id/2023;Millwall FC;Championship;;;https://www.transfermarkt.com/fc-millwall/kader/verein/1028/saison_id/2010;€11.15m;https://www.transfermarkt.com/millwall-fc/kader/verein/1028/saison_id/2023;€35.55m;218.8 %
,18;https://www.transfermarkt.com/coventry-city/startseite/verein/990/saison_id/2023;Coventry City;Championship;;;https://www.transfermarkt.com/coventry-city/kader/verein/990/saison_id/2010;€16.78m;https://www.transfermarkt.com/coventry-city/kader/verein/990/saison_id/2023;€34.50m;105.7 %
,19;https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039/saison_id/2023;Queens Park Rangers;Championship;;;https://www.transfermarkt.com/queens-park-rangers/kader/verein/1039/saison_id/2010;€32.10m;https://www.transfermarkt.com/queens-park-rangers/kader/verein/1039/saison_id/2023;€34.30m;6.9 %
,20;https://www.transfermarkt.com/huddersfield-town/startseite/verein/1110/saison_id/2023;Huddersfield Town;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB3;League One;https://www.transfermarkt.com/huddersfield-town/kader/verein/1110/saison_id/2010;€11.08m;https://www.transfermarkt.com/huddersfield-town/kader/verein/1110/saison_id/2023;€25.33m;128.7 %
,21;https://www.transfermarkt.com/ipswich-town/startseite/verein/677/saison_id/2023;Ipswich Town;Championship;;;https://www.transfermarkt.com/ipswich-town/kader/verein/677/saison_id/2010;€23.55m;https://www.transfermarkt.com/ipswich-town/kader/verein/677/saison_id/2023;€19.18m;-18.6 %
,22;https://www.transfermarkt.com/rotherham-united/startseite/verein/1194/saison_id/2023;Rotherham United;League Two;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB4;League Two;https://www.transfermarkt.com/rotherham-united/kader/verein/1194/saison_id/2010;€2.65m;https://www.transfermarkt.com/rotherham-united/kader/verein/1194/saison_id/2023;€16.25m;513.2 %
,23;https://www.transfermarkt.com/plymouth-argyle/startseite/verein/2262/saison_id/2023;Plymouth Argyle;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB3;League One;https://www.transfermarkt.com/plymouth-argyle/kader/verein/2262/saison_id/2010;€14.55m;https://www.transfermarkt.com/plymouth-argyle/kader/verein/2262/saison_id/2023;€12.98m;-10.8 %
,24;https://www.transfermarkt.com/sheffield-wednesday/startseite/verein/1035/saison_id/2023;Sheffield Wednesday;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB3;League One;https://www.transfermarkt.com/sheffield-wednesday/kader/verein/1035/saison_id/2010;€16.33m;https://www.transfermarkt.com/sheffield-wednesday/kader/verein/1035/saison_id/2023;€9.85m;-39.7 %
,1;https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2023;Southampton FC;Championship;;;https://www.transfermarkt.com/fc-southampton/kader/verein/180/saison_id/2011;€19.68m;https://www.transfermarkt.com/southampton-fc/kader/verein/180/saison_id/2023;€380.70m;1834.9 %
,2;https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2023;Leicester City;Championship;;;https://www.transfermarkt.com/leicester-city/kader/verein/1003/saison_id/2011;€35.18m;https://www.transfermarkt.com/leicester-city/kader/verein/1003/saison_id/2023;€286.50m;714.5 %
,3;https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2023;Leeds United;Championship;;;https://www.transfermarkt.com/leeds-united/kader/verein/399/saison_id/2011;€19.68m;https://www.transfermarkt.com/leeds-united/kader/verein/399/saison_id/2023;€246.40m;1152.4 %
,4;https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2023;Norwich City;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/norwich-city/kader/verein/1123/saison_id/2011;€21.83m;https://www.transfermarkt.com/norwich-city/kader/verein/1123/saison_id/2023;€98.30m;350.4 %
,5;https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2023;Watford FC;Championship;;;https://www.transfermarkt.com/fc-watford/kader/verein/1010/saison_id/2011;€14.33m;https://www.transfermarkt.com/watford-fc/kader/verein/1010/saison_id/2023;€69.20m;383.1 %
,6;https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641/saison_id/2023;Middlesbrough FC;Championship;;;https://www.transfermarkt.com/fc-middlesbrough/kader/verein/641/saison_id/2011;€30.63m;https://www.transfermarkt.com/middlesbrough-fc/kader/verein/641/saison_id/2023;€59.15m;93.1 %
,7;https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2023;Hull City;Championship;;;https://www.transfermarkt.com/hull-city/kader/verein/3008/saison_id/2011;€26.15m;https://www.transfermarkt.com/hull-city/kader/verein/3008/saison_id/2023;€58.75m;124.7 %
,8;https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2023;Sunderland AFC;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/afc-sunderland/kader/verein/289/saison_id/2011;€119.20m;https://www.transfermarkt.com/sunderland-afc/kader/verein/289/saison_id/2023;€57.35m;-51.9 %
,9;https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2023;West Bromwich Albion;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/west-bromwich-albion/kader/verein/984/saison_id/2011;€76.75m;https://www.transfermarkt.com/west-bromwich-albion/kader/verein/984/saison_id/2023;€56.80m;-26.0 %
,10;https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2023;Blackburn Rovers;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/blackburn-rovers/kader/verein/164/saison_id/2011;€65.65m;https://www.transfermarkt.com/blackburn-rovers/kader/verein/164/saison_id/2023;€56.70m;-13.6 %
,11;https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2023;Swansea City;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/swansea-city/kader/verein/2288/saison_id/2011;€29.95m;https://www.transfermarkt.com/swansea-city/kader/verein/2288/saison_id/2023;€55.50m;85.3 %
,12;https://www.transfermarkt.com/bristol-city/startseite/verein/698/saison_id/2023;Bristol City;Championship;;;https://www.transfermarkt.com/bristol-city/kader/verein/698/saison_id/2011;€19.83m;https://www.transfermarkt.com/bristol-city/kader/verein/698/saison_id/2023;€52.25m;163.6 %
,13;https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2023;Cardiff City;Championship;;;https://www.transfermarkt.com/cardiff-city/kader/verein/603/saison_id/2011;€28.98m;https://www.transfermarkt.com/cardiff-city/kader/verein/603/saison_id/2023;€48.10m;66.0 %
,14;https://www.transfermarkt.com/birmingham-city/startseite/verein/337/saison_id/2023;Birmingham City;Championship;;;https://www.transfermarkt.com/birmingham-city/kader/verein/337/saison_id/2011;€42.38m;https://www.transfermarkt.com/birmingham-city/kader/verein/337/saison_id/2023;€42.00m;-0.9 %
,15;https://www.transfermarkt.com/preston-north-end/startseite/verein/466/saison_id/2023;Preston North End;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB3;League One;https://www.transfermarkt.com/preston-north-end/kader/verein/466/saison_id/2011;€11.05m;https://www.transfermarkt.com/preston-north-end/kader/verein/466/saison_id/2023;€41.25m;273.3 %
,16;https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2023;Stoke City;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/stoke-city/kader/verein/512/saison_id/2011;€94.00m;https://www.transfermarkt.com/stoke-city/kader/verein/512/saison_id/2023;€40.80m;-56.6 %
,17;https://www.transfermarkt.com/fc-millwall/startseite/verein/1028/saison_id/2023;Millwall FC;Championship;;;https://www.transfermarkt.com/fc-millwall/kader/verein/1028/saison_id/2011;€10.85m;https://www.transfermarkt.com/millwall-fc/kader/verein/1028/saison_id/2023;€35.55m;227.6 %
,18;https://www.transfermarkt.com/coventry-city/startseite/verein/990/saison_id/2023;Coventry City;Championship;;;https://www.transfermarkt.com/coventry-city/kader/verein/990/saison_id/2011;€10.90m;https://www.transfermarkt.com/coventry-city/kader/verein/990/saison_id/2023;€34.50m;216.5 %
,19;https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039/saison_id/2023;Queens Park Rangers;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/queens-park-rangers/kader/verein/1039/saison_id/2011;€50.18m;https://www.transfermarkt.com/queens-park-rangers/kader/verein/1039/saison_id/2023;€34.30m;-31.6 %
,20;https://www.transfermarkt.com/huddersfield-town/startseite/verein/1110/saison_id/2023;Huddersfield Town;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB3;League One;https://www.transfermarkt.com/huddersfield-town/kader/verein/1110/saison_id/2011;€9.78m;https://www.transfermarkt.com/huddersfield-town/kader/verein/1110/saison_id/2023;€25.33m;159.1 %
,21;https://www.transfermarkt.com/ipswich-town/startseite/verein/677/saison_id/2023;Ipswich Town;Championship;;;https://www.transfermarkt.com/ipswich-town/kader/verein/677/saison_id/2011;€29.55m;https://www.transfermarkt.com/ipswich-town/kader/verein/677/saison_id/2023;€19.18m;-35.1 %
,22;https://www.transfermarkt.com/rotherham-united/startseite/verein/1194/saison_id/2023;Rotherham United;League Two;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB4;League Two;https://www.transfermarkt.com/rotherham-united/kader/verein/1194/saison_id/2011;€3.28m;https://www.transfermarkt.com/rotherham-united/kader/verein/1194/saison_id/2023;€16.25m;396.2 %
,23;https://www.transfermarkt.com/plymouth-argyle/startseite/verein/2262/saison_id/2023;Plymouth Argyle;League Two;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB4;League Two;https://www.transfermarkt.com/plymouth-argyle/kader/verein/2262/saison_id/2011;€3.68m;https://www.transfermarkt.com/plymouth-argyle/kader/verein/2262/saison_id/2023;€12.98m;253.1 %
,24;https://www.transfermarkt.com/sheffield-wednesday/startseite/verein/1035/saison_id/2023;Sheffield Wednesday;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB3;League One;https://www.transfermarkt.com/sheffield-wednesday/kader/verein/1035/saison_id/2011;€14.23m;https://www.transfermarkt.com/sheffield-wednesday/kader/verein/1035/saison_id/2023;€9.85m;-30.8 %
,1;https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2023;Southampton FC;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/fc-southampton/kader/verein/180/saison_id/2012;€57.90m;https://www.transfermarkt.com/southampton-fc/kader/verein/180/saison_id/2023;€380.70m;557.5 %
,2;https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2023;Leicester City;Championship;;;https://www.transfermarkt.com/leicester-city/kader/verein/1003/saison_id/2012;€30.05m;https://www.transfermarkt.com/leicester-city/kader/verein/1003/saison_id/2023;€286.50m;853.4 %
,3;https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2023;Leeds United;Championship;;;https://www.transfermarkt.com/leeds-united/kader/verein/399/saison_id/2012;€18.25m;https://www.transfermarkt.com/leeds-united/kader/verein/399/saison_id/2023;€246.40m;1250.1 %
,4;https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2023;Norwich City;Premier League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB2/plus/GB1;Premier League;https://www.transfermarkt.com/norwich-city/kader/verein/1123/saison_id/2012;€66.40m;https://www.transfermarkt.com/norwich-city/kader/verein/1123/saison_id/2023;€98.30m;48.0 %
