_;wappen_URL;Club;League;League_URL;League1;Value_Nov_1_2010_URL;Value_Nov_1_2010;Current_value_URL;Current_value;_1
,20;https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2023;Luton Town;;;;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2010;€1.98m;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2023;€50.50m;2453.7 %
,1;https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2023;Arsenal FC;Premier League;;;https://www.transfermarkt.com/fc-arsenal/kader/verein/11/saison_id/2011;€276.80m;https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2023;€1.21bn;335.5 %
,2;https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2023;Manchester City;Premier League;;;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2011;€443.00m;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2023;€1.18bn;166.7 %
,3;https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2023;Chelsea FC;Premier League;;;https://www.transfermarkt.com/fc-chelsea/kader/verein/631/saison_id/2011;€405.00m;https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2023;€879.50m;117.2 %
,4;https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2023;Liverpool FC;Premier League;;;https://www.transfermarkt.com/fc-liverpool/kader/verein/31/saison_id/2011;€258.75m;https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2023;€846.80m;227.3 %
,5;https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2023;Manchester United;Premier League;;;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2011;€405.30m;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2023;€845.30m;108.6 %
,6;https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2023;Tottenham Hotspur;Premier League;;;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2011;€301.30m;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2023;€773.30m;156.7 %
,7;https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023;Newcastle United;Premier League;;;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2011;€104.80m;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2023;€615.10m;486.9 %
,8;https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2023;Aston Villa;Premier League;;;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2011;€116.75m;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2023;€591.50m;406.6 %
,9;https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023;Brighton & Hove Albion;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2011;€7.18m;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2023;€455.65m;6250.5 %
,10;https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2023;Brentford FC;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/fc-brentford/kader/verein/1148/saison_id/2011;€5.03m;https://www.transfermarkt.com/brentford-fc/kader/verein/1148/saison_id/2023;€393.80m;7736.8 %
,11;https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023;Wolverhampton Wanderers;Premier League;;;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2011;€75.00m;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2023;€367.18m;389.6 %
,12;https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2023;Everton FC;Premier League;;;https://www.transfermarkt.com/fc-everton/kader/verein/29/saison_id/2011;€171.30m;https://www.transfermarkt.com/everton-fc/kader/verein/29/saison_id/2023;€365.15m;113.2 %
,13;https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2023;West Ham United;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2011;€76.15m;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2023;€362.90m;376.6 %
,14;https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2023;Nottingham Forest;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2011;€29.50m;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2023;€335.48m;1037.2 %
,15;https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2023;Crystal Palace;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2011;€21.85m;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2023;€299.45m;1270.5 %
