_,Club_URL,Club,Expenditure,Arrivals_URL,Arrivals,Income,Departures,Balance
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2012,Southampton FC,€41.50m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2012,29,-,25,€-41.50m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/saison_id/2012,Sunderland AFC,€38.30m,https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/w_s//pos//saison_id/2012,26,€14.83m,30,€-23.48m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2012,Newcastle United,€31.97m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2012,21,€14.80m,19,€-17.17m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2012,Aston Villa,€27.83m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2012,18,€3.20m,12,€-24.63m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2012,West Ham United,€23.90m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2012,24,€5.05m,28,€-18.85m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/stoke-city/transfers/verein/512/saison_id/2012,Stoke City,€23.68m,https://www.transfermarkt.com/stoke-city/transfers/verein/512/w_s//pos//saison_id/2012,23,€640k,24,€-23.04m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2012,Everton FC,€21.65m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2012,12,€18.75m,13,€-2.90m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/swansea-city/transfers/verein/2288/saison_id/2012,Swansea City,€20.47m,https://www.transfermarkt.com/swansea-city/transfers/verein/2288/w_s//pos//saison_id/2012,20,€32.60m,22,€12.13m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/norwich-city/transfers/verein/1123/saison_id/2012,Norwich City,€11.08m,https://www.transfermarkt.com/norwich-city/transfers/verein/1123/w_s//pos//saison_id/2012,28,€380k,24,€-10.70m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-reading/transfers/verein/1032/saison_id/2012,Reading FC,€10.82m,https://www.transfermarkt.com/fc-reading/transfers/verein/1032/w_s//pos//saison_id/2012,32,€900k,27,€-9.92m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/wigan-athletic/transfers/verein/1071/saison_id/2012,Wigan Athletic,€10.54m,https://www.transfermarkt.com/wigan-athletic/transfers/verein/1071/w_s//pos//saison_id/2012,21,€13.25m,23,€2.72m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-fulham/transfers/verein/931/saison_id/2012,Fulham FC,€10.00m,https://www.transfermarkt.com/fc-fulham/transfers/verein/931/w_s//pos//saison_id/2012,26,€31.42m,28,€21.42m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2012,West Bromwich Albion,€5.00m,https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/w_s//pos//saison_id/2012,16,€3.73m,18,€-1.28m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2013,Chelsea FC,€130.35m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2013,38,€77.93m,36,€-52.42m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2013,Tottenham Hotspur,€122.55m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2013,30,€138.40m,28,€15.85m
