_,Club_URL,Club,Expenditure,Arrivals_URL,Arrivals,Income,Departures,Balance
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2016,Crystal Palace,€101.20m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2016,22,€50.20m,24,€-51.00m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2016,Leicester City,€92.10m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2016,17,€66.05m,18,€-26.05m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2016,Everton FC,€86.00m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2016,18,€60.80m,19,€-25.20m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2016,Tottenham Hotspur,€83.50m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2016,8,€52.30m,8,€-31.20m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2016,West Ham United,€83.50m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2016,22,€41.00m,15,€-42.50m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2016,Liverpool FC,€79.90m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2016,21,€85.38m,19,€5.48m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-watford/transfers/verein/1010/saison_id/2016,Watford FC,€70.45m,https://www.transfermarkt.com/fc-watford/transfers/verein/1010/w_s//pos//saison_id/2016,29,€58.10m,32,€-12.35m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2016,Southampton FC,€68.90m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2016,12,€85.05m,9,€16.15m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/swansea-city/transfers/verein/2288/saison_id/2016,Swansea City,€58.10m,https://www.transfermarkt.com/swansea-city/transfers/verein/2288/w_s//pos//saison_id/2016,21,€49.30m,17,€-8.80m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-middlesbrough/transfers/verein/641/saison_id/2016,Middlesbrough FC,€47.95m,https://www.transfermarkt.com/fc-middlesbrough/transfers/verein/641/w_s//pos//saison_id/2016,18,€13.50m,19,€-34.45m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2016,Burnley FC,€45.60m,https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/w_s//pos//saison_id/2016,27,€1.20m,26,€-44.40m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/stoke-city/transfers/verein/512/saison_id/2016,Stoke City,€42.17m,https://www.transfermarkt.com/stoke-city/transfers/verein/512/w_s//pos//saison_id/2016,14,€3.80m,13,€-38.37m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/saison_id/2016,Sunderland AFC,€41.90m,https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/w_s//pos//saison_id/2016,25,€23.77m,23,€-18.13m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/saison_id/2016,AFC Bournemouth,€40.69m,https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/w_s//pos//saison_id/2016,19,€23.69m,30,€-17.00m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/hull-city/transfers/verein/3008/saison_id/2016,Hull City,€40.00m,https://www.transfermarkt.com/hull-city/transfers/verein/3008/w_s//pos//saison_id/2016,25,€28.90m,16,€-11.10m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2016,West Bromwich Albion,€37.90m,https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/w_s//pos//saison_id/2016,13,€26.98m,14,€-10.93m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2017,Manchester City,€317.50m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2017,31,€91.35m,32,€-226.15m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2017,Chelsea FC,€260.50m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2017,40,€194.60m,31,€-65.90m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2017,Everton FC,€203.20m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2017,23,€126.38m,20,€-76.82m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2017,Manchester United,€198.40m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2017,13,€45.50m,11,€-152.90m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2017,Liverpool FC,€173.65m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2017,13,€184.50m,15,€10.85m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2017,Arsenal FC,€152.85m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2017,10,€162.00m,16,€9.15m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2017,Tottenham Hotspur,€121.00m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2017,14,€103.80m,11,€-17.20m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2017,Leicester City,€83.85m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2017,14,€50.10m,13,€-33.75m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-watford/transfers/verein/1010/saison_id/2017,Watford FC,€73.40m,https://www.transfermarkt.com/fc-watford/transfers/verein/1010/w_s//pos//saison_id/2017,32,€18.74m,30,€-54.66m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/swansea-city/transfers/verein/2288/saison_id/2017,Swansea City,€73.39m,https://www.transfermarkt.com/swansea-city/transfers/verein/2288/w_s//pos//saison_id/2017,21,€81.10m,24,€7.72m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2017,Brighton & Hove Albion,€66.50m,https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/w_s//pos//saison_id/2017,23,€400k,22,€-66.10m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2017,Southampton FC,€61.25m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2017,12,€98.35m,14,€37.10m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/stoke-city/transfers/verein/512/saison_id/2017,Stoke City,€57.70m,https://www.transfermarkt.com/stoke-city/transfers/verein/512/w_s//pos//saison_id/2017,18,€35.14m,17,€-22.56m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2017,West Ham United,€56.80m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2017,15,€69.02m,25,€12.22m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/huddersfield-town/transfers/verein/1110/saison_id/2017,Huddersfield Town,€56.75m,https://www.transfermarkt.com/huddersfield-town/transfers/verein/1110/w_s//pos//saison_id/2017,22,€6.46m,16,€-50.30m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2017,Crystal Palace,€55.95m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2017,15,€3.00m,18,€-52.95m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2017,West Bromwich Albion,€53.50m,https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/w_s//pos//saison_id/2017,17,€2.05m,11,€-51.45m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2017,Newcastle United,€46.50m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2017,27,€21.22m,29,€-25.28m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2017,Burnley FC,€35.74m,https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/w_s//pos//saison_id/2017,18,€50.00m,21,€14.26m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/saison_id/2017,AFC Bournemouth,€34.30m,https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/w_s//pos//saison_id/2017,15,-,14,€-34.30m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2018,Chelsea FC,€208.80m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2018,30,€83.25m,31,€-125.55m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2018,Liverpool FC,€182.20m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2018,18,€41.32m,21,€-140.88m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-fulham/transfers/verein/931/saison_id/2018,Fulham FC,€116.50m,https://www.transfermarkt.com/fc-fulham/transfers/verein/931/w_s//pos//saison_id/2018,18,€5.35m,11,€-111.15m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2018,Leicester City,€114.60m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2018,16,€95.80m,18,€-18.80m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2018,Wolverhampton Wanderers,€112.75m,https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/w_s//pos//saison_id/2018,35,€23.30m,46,€-89.45m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2018,West Ham United,€100.90m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2018,18,€13.77m,13,€-87.14m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2018,Everton FC,€99.80m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2018,19,€28.65m,23,€-71.15m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/saison_id/2018,AFC Bournemouth,€91.60m,https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/w_s//pos//saison_id/2018,14,€20.20m,16,€-71.40m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2018,Brighton & Hove Albion,€87.12m,https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/w_s//pos//saison_id/2018,28,€13.62m,29,€-73.50m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2018,Manchester United,€82.70m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2018,9,€30.55m,10,€-52.15m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2018,Arsenal FC,€80.15m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2018,17,€9.10m,12,€-71.05m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2018,Manchester City,€78.59m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2018,19,€57.60m,22,€-20.99m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2018,Southampton FC,€62.25m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2018,16,€26.10m,18,€-36.15m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2018,Newcastle United,€59.75m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2018,22,€51.05m,23,€-8.70m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/cardiff-city/transfers/verein/603/saison_id/2018,Cardiff City,€51.20m,https://www.transfermarkt.com/cardiff-city/transfers/verein/603/w_s//pos//saison_id/2018,18,-,18,€-51.20m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/huddersfield-town/transfers/verein/1110/saison_id/2018,Huddersfield Town,€50.70m,https://www.transfermarkt.com/huddersfield-town/transfers/verein/1110/w_s//pos//saison_id/2018,14,€12.33m,16,€-38.37m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2018,Burnley FC,€33.00m,https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/w_s//pos//saison_id/2018,8,€8.00m,11,€-25.00m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-watford/transfers/verein/1010/saison_id/2018,Watford FC,€30.10m,https://www.transfermarkt.com/fc-watford/transfers/verein/1010/w_s//pos//saison_id/2018,26,€51.84m,27,€21.74m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2018,Crystal Palace,€11.85m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2018,11,€350k,16,€-11.50m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2018,Tottenham Hotspur,-,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2018,4,€5.35m,4,€5.35m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2019,Manchester United,€236.80m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2019,13,€81.18m,12,€-155.62m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2019,Manchester City,€166.82m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2019,24,€71.00m,25,€-95.82m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2019,Arsenal FC,€160.80m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2019,16,€53.65m,19,€-107.15m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2019,Aston Villa,€159.50m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2019,24,€3.00m,24,€-156.50m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2019,Tottenham Hotspur,€150.50m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2019,12,€64.50m,14,€-86.00m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2019,Everton FC,€121.00m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2019,22,€87.80m,22,€-33.20m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2019,West Ham United,€119.80m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2019,10,€55.48m,17,€-64.32m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2019,Wolverhampton Wanderers,€116.70m,https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/w_s//pos//saison_id/2019,28,€24.10m,26,€-92.60m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2019,Leicester City,€104.30m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2019,13,€88.50m,13,€-15.80m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2019,Newcastle United,€72.90m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2019,13,€35.64m,11,€-37.26m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/sheffield-united/transfers/verein/350/saison_id/2019,Sheffield United,€72.50m,https://www.transfermarkt.com/sheffield-united/transfers/verein/350/w_s//pos//saison_id/2019,23,€350k,21,€-72.15m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2019,Brighton & Hove Albion,€61.74m,https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/w_s//pos//saison_id/2019,25,€8.50m,30,€-53.24m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2019,Southampton FC,€61.50m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2019,14,€27.30m,17,€-34.20m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-watford/transfers/verein/1010/saison_id/2019,Watford FC,€56.00m,https://www.transfermarkt.com/fc-watford/transfers/verein/1010/w_s//pos//saison_id/2019,21,€25.40m,21,€-30.60m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/saison_id/2019,AFC Bournemouth,€54.91m,https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/w_s//pos//saison_id/2019,13,€34.63m,12,€-20.29m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2019,Chelsea FC,€45.00m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2019,22,€157.27m,29,€112.27m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2019,Burnley FC,€23.85m,https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/w_s//pos//saison_id/2019,8,€13.55m,10,€-10.30m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2019,Liverpool FC,€10.40m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2019,15,€48.00m,16,€37.60m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/norwich-city/transfers/verein/1123/saison_id/2019,Norwich City,€8.82m,https://www.transfermarkt.com/norwich-city/transfers/verein/1123/w_s//pos//saison_id/2019,23,€2.20m,28,€-6.62m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2019,Crystal Palace,€7.60m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2019,13,€55.38m,15,€47.78m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2020,Chelsea FC,€247.20m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2020,31,€57.15m,26,€-190.05m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2020,Manchester City,€173.40m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2020,27,€64.00m,26,€-109.40m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leeds-united/transfers/verein/399/saison_id/2020,Leeds United,€127.80m,https://www.transfermarkt.com/leeds-united/transfers/verein/399/w_s//pos//saison_id/2020,16,-,17,€-127.80m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2020,Tottenham Hotspur,€110.50m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2020,15,€13.30m,11,€-97.20m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2020,Aston Villa,€101.35m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2020,12,€2.77m,16,€-98.58m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2020,Wolverhampton Wanderers,€87.59m,https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/w_s//pos//saison_id/2020,21,€79.20m,24,€-8.39m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2020,Arsenal FC,€86.00m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2020,16,€19.15m,16,€-66.85m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2020,Liverpool FC,€84.05m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2020,16,€17.20m,13,€-66.85m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2020,Manchester United,€83.80m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2020,14,€19.50m,15,€-64.30m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2020,Everton FC,€74.37m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2020,20,€4.43m,20,€-69.95m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/sheffield-united/transfers/verein/350/saison_id/2020,Sheffield United,€62.70m,https://www.transfermarkt.com/sheffield-united/transfers/verein/350/w_s//pos//saison_id/2020,16,-,19,€-62.70m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2020,Leicester City,€59.40m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2020,19,€53.77m,18,€-5.63m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2020,West Ham United,€54.70m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2020,16,€45.41m,17,€-9.29m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2020,West Bromwich Albion,€42.14m,https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/w_s//pos//saison_id/2020,21,€8.10m,21,€-34.04m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2020,Newcastle United,€39.00m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2020,11,€275k,15,€-38.73m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2020,Southampton FC,€37.30m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2020,23,€26.30m,18,€-11.00m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-fulham/transfers/verein/931/saison_id/2020,Fulham FC,€37.25m,https://www.transfermarkt.com/fc-fulham/transfers/verein/931/w_s//pos//saison_id/2020,23,-,19,€-37.25m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2020,Brighton & Hove Albion,€28.50m,https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/w_s//pos//saison_id/2020,28,€20.60m,22,€-7.90m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2020,Crystal Palace,€22.40m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2020,13,€20.00m,8,€-2.40m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2020,Burnley FC,€1.10m,https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/w_s//pos//saison_id/2020,6,€2.30m,6,€1.20m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2021,Arsenal FC,€167.40m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2021,13,€31.40m,20,€-136.00m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2021,Manchester United,€142.00m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2021,16,€31.10m,13,€-110.90m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2021,Manchester City,€138.90m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2021,21,€93.80m,24,€-45.10m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2021,Newcastle United,€130.50m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2021,13,-,11,€-130.50m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2021,Aston Villa,€129.80m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2021,22,€127.00m,18,€-2.80m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2021,Chelsea FC,€118.00m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2021,21,€148.94m,23,€30.94m
